,specs,mp,mr,mt
0,"['y_120m', True, 0, 0.01, 'l1']",0.48400556328233657,0.9508196721311475,0.2542818401287361
1,"['y_120m', True, 0, 0.01, 'l2']",0.49291784702549574,0.9508196721311475,0.27085861937957806
2,"['y_120m', True, 0, 0.1, 'l1']",0.5028901734104047,0.9508196721311475,0.43611549793332427
3,"['y_120m', True, 0, 0.1, 'l2']",0.4688741721854305,0.9672131147540983,0.4292817487374346
4,"['y_120m', True, 0, 1, 'l1']",0.47554347826086957,0.9562841530054644,0.5289130038382042
5,"['y_120m', True, 0, 1, 'l2']",0.47547683923705725,0.953551912568306,0.5371738284303095
6,"['y_120m', True, 0, 10, 'l1']",0.4749661705006766,0.9590163934426229,0.540339638980267
7,"['y_120m', True, 0, 10, 'l2']",0.47489823609226595,0.9562841530054644,0.5507213449431747
8,"['y_120m', True, 0, 100, 'l1']",0.4741847826086957,0.953551912568306,0.5546588991318937
9,"['y_120m', True, 0, 100, 'l2']",0.4735413839891452,0.953551912568306,0.5653824199111883
10,"['y_120m', True, 0, 1000, 'l1']",0.4741847826086957,0.953551912568306,0.5608322749231126
11,"['y_120m', True, 0, 1000, 'l2']",0.47411444141689374,0.9508196721311475,0.5715944080459693
12,"['y_120m', True, 1, 0.01, 'l1']",0.43016069221260816,0.9508196721311475,0.1143065596955995
13,"['y_120m', True, 1, 0.01, 'l2']",0.435,0.9508196721311475,0.1676423152026585
14,"['y_120m', True, 1, 0.1, 'l1']",0.43283582089552236,0.9508196721311475,0.22570728243233057
15,"['y_120m', True, 1, 0.1, 'l2']",0.43337484433374845,0.9508196721311475,0.2370988263015672
16,"['y_120m', True, 1, 1, 'l1']",0.4308641975308642,0.953551912568306,0.252721517266574
17,"['y_120m', True, 1, 1, 'l2']",0.42962962962962964,0.9508196721311475,0.2582907698268635
18,"['y_120m', True, 1, 10, 'l1']",0.43462017434620176,0.953551912568306,0.2771066649527237
19,"['y_120m', True, 1, 10, 'l2']",0.43407960199004975,0.953551912568306,0.2751189131438863
20,"['y_120m', True, 1, 100, 'l1']",0.43828715365239296,0.9508196721311475,0.28223827783576394
