,specs,mp,mr,mt
0,"['y_90m', True, 0, 0.01, 'l1']",0.05,1.0,0.04323278993424192
1,"['y_90m', True, 0, 0.01, 'l2']",0.052083333333333336,1.0,0.09331435966247272
2,"['y_90m', True, 0, 0.1, 'l1']",0.05369928400954654,1.0,0.19819055285846568
3,"['y_90m', True, 0, 0.1, 'l2']",0.05357142857142857,1.0,0.1660725070169222
4,"['y_90m', True, 0, 1, 'l1']",0.05319148936170213,1.0,0.20374714030940153
5,"['y_90m', True, 0, 1, 'l2']",0.05319148936170213,1.0,0.2012789021749488
6,"['y_90m', True, 0, 10, 'l1']",0.05319148936170213,1.0,0.20859315519208657
7,"['y_90m', True, 0, 10, 'l2']",0.05319148936170213,1.0,0.20690860415349255
8,"['y_90m', True, 0, 100, 'l1']",0.05319148936170213,1.0,0.20842437704642397
9,"['y_90m', True, 0, 100, 'l2']",0.05325443786982249,1.0,0.20079813529108265
10,"['y_90m', True, 0, 1000, 'l1']",0.05319148936170213,1.0,0.20681448480764497
11,"['y_90m', True, 0, 1000, 'l2']",0.05325443786982249,1.0,0.19990270530649903
12,"['y_90m', True, 1, 0.01, 'l1']",0.0472193074501574,1.0,0.033752371845028245
13,"['y_90m', True, 1, 0.01, 'l2']",0.048283261802575105,1.0,0.07463344085206693
14,"['y_90m', True, 1, 0.1, 'l1']",0.05005688282138794,0.9777777777777777,0.111906442492521
15,"['y_90m', True, 1, 0.1, 'l2']",0.05057471264367816,0.9777777777777777,0.12750308863200002
16,"['y_90m', True, 1, 1, 'l1']",0.05069124423963134,0.9777777777777777,0.136183595846377
17,"['y_90m', True, 1, 1, 'l2']",0.05069124423963134,0.9777777777777777,0.1401351455723388
18,"['y_90m', True, 1, 10, 'l1']",0.0502283105022831,0.9777777777777777,0.14685453889196315
19,"['y_90m', True, 1, 10, 'l2']",0.05034324942791762,0.9777777777777777,0.14670446823971503
20,"['y_90m', True, 1, 100, 'l1']",0.05005688282138794,0.9777777777777777,0.1466065568029305
21,"['y_90m', True, 1, 100, 'l2']",0.049886621315192746,0.9777777777777777,0.14529130690839975
22,"['y_90m', True, 1, 1000, 'l1']",0.05005688282138794,0.9777777777777777,0.14682575236986453
23,"['y_90m', True, 1, 1000, 'l2']",0.049886621315192746,0.9777777777777777,0.14507936079043407
24,"['y_90m', True, 10, 0.01, 'l1']",0.048283261802575105,1.0,0.03499818022620925
25,"['y_90m', True, 10, 0.01, 'l2']",0.04896626768226333,1.0,0.04793253037476966
26,"['y_90m', True, 10, 0.1, 'l1']",0.04948216340621404,0.9555555555555556,0.06771948929313781
27,"['y_90m', True, 10, 0.1, 'l2']",0.04908675799086758,0.9555555555555556,0.07026908142470258
28,"['y_90m', True, 10, 1, 'l1']",0.04896626768226333,1.0,0.054855704209391336
29,"['y_90m', True, 10, 1, 'l2']",0.04896626768226333,1.0,0.05488055465156114
30,"['y_90m', True, 10, 10, 'l1']",0.04918032786885246,1.0,0.058626822410159256
31,"['y_90m', True, 10, 10, 'l2']",0.04918032786885246,1.0,0.05931269366012544
32,"['y_90m', True, 10, 100, 'l1']",0.04918032786885246,1.0,0.05901002452085359
33,"['y_90m', True, 10, 100, 'l2']",0.04923413566739606,1.0,0.060463469734538415
34,"['y_90m', True, 10, 1000, 'l1']",0.04918032786885246,1.0,0.05857535306457618
35,"['y_90m', True, 10, 1000, 'l2']",0.04923413566739606,1.0,0.0604107731297696
36,"['y_90m', False, 0, 0.01, 'l1']",0.047619047619047616,1.0,0.06514134248938525
37,"['y_90m', False, 0, 0.01, 'l2']",0.04918032786885246,1.0,0.09847442152572046
38,"['y_90m', False, 0, 0.1, 'l1']",0.04777070063694268,1.0,0.04523785212665292
39,"['y_90m', False, 0, 0.1, 'l2']",0.048025613660619,1.0,0.0482867867180987
40,"['y_90m', False, 0, 1, 'l1']",0.047619047619047616,1.0,0.04195255978608909
41,"['y_90m', False, 0, 1, 'l2']",0.047619047619047616,1.0,0.04238276432839749
42,"['y_90m', False, 0, 10, 'l1']",0.048025613660619,1.0,0.043850019986593165
43,"['y_90m', False, 0, 10, 'l2']",0.04792332268370607,1.0,0.04369004970987095
44,"['y_90m', False, 0, 100, 'l1']",0.04807692307692308,1.0,0.04416349678362992
45,"['y_90m', False, 0, 100, 'l2']",0.04807692307692308,1.0,0.044182113750316235
46,"['y_90m', False, 0, 1000, 'l1']",0.04807692307692308,1.0,0.0442000471286322
47,"['y_90m', False, 0, 1000, 'l2']",0.04807692307692308,1.0,0.04424168068657213
48,"['y_90m', False, 1, 0.01, 'l1']",0.04797441364605544,1.0,0.04316657597206562
49,"['y_90m', False, 1, 0.01, 'l2']",0.048179871520342615,1.0,0.060579001117352003
50,"['y_90m', False, 1, 0.1, 'l1']",0.0481283422459893,1.0,0.0378894090884366
51,"['y_90m', False, 1, 0.1, 'l2']",0.04823151125401929,1.0,0.04203128787047787
52,"['y_90m', False, 1, 1, 'l1']",0.04823151125401929,1.0,0.03939564913043023
53,"['y_90m', False, 1, 1, 'l2']",0.04823151125401929,1.0,0.039272288271399856
54,"['y_90m', False, 1, 10, 'l1']",0.04823151125401929,1.0,0.03881755060041351
55,"['y_90m', False, 1, 10, 'l2']",0.04823151125401929,1.0,0.03864347965500087
56,"['y_90m', False, 1, 100, 'l1']",0.04823151125401929,1.0,0.03862482378128371
57,"['y_90m', False, 1, 100, 'l2']",0.04823151125401929,1.0,0.038553389596865925
58,"['y_90m', False, 1, 1000, 'l1']",0.04823151125401929,1.0,0.038602095917176595
59,"['y_90m', False, 1, 1000, 'l2']",0.04823151125401929,1.0,0.03854389930264043
60,"['y_90m', False, 10, 0.01, 'l1']",0.04756871035940803,1.0,0.00939254104020645
61,"['y_90m', False, 10, 0.01, 'l2']",0.047619047619047616,1.0,0.0115330417597692
62,"['y_90m', False, 10, 0.1, 'l1']",0.047619047619047616,1.0,0.008552069024491675
63,"['y_90m', False, 10, 0.1, 'l2']",0.047619047619047616,1.0,0.008616125937369786
64,"['y_90m', False, 10, 1, 'l1']",0.047619047619047616,1.0,0.008149009517115002
65,"['y_90m', False, 10, 1, 'l2']",0.047619047619047616,1.0,0.008130774616349526
66,"['y_90m', False, 10, 10, 'l1']",0.047619047619047616,1.0,0.00806343185724584
67,"['y_90m', False, 10, 10, 'l2']",0.047619047619047616,1.0,0.00805024684333044
68,"['y_90m', False, 10, 100, 'l1']",0.047619047619047616,1.0,0.00805438887207779
69,"['y_90m', False, 10, 100, 'l2']",0.047619047619047616,1.0,0.008041379796599687
70,"['y_90m', False, 10, 1000, 'l1']",0.047619047619047616,1.0,0.008054094009823086
71,"['y_90m', False, 10, 1000, 'l2']",0.047619047619047616,1.0,0.008040484217711204
